 Spectrum , Sample , Throughput , Mg-Ka Area , Mg-Ka AreaStd , Al-Ka Area , Al-Ka AreaStd , Si-Ka Area , Si-Ka AreaStd , P -Ka Area , P -Ka AreaStd , S -Ka Area , S -Ka AreaStd , Cl-Ka Area , Cl-Ka AreaStd , Ar-Ka Area , Ar-Ka AreaStd , K -Ka Area , K -Ka AreaStd , Ca-Ka Area , Ca-Ka AreaStd , Ti-Ka Area , Ti-Ka AreaStd , Cr-Ka Area , Cr-Ka AreaStd , Mn-Ka Area , Mn-Ka AreaStd , Fe-Ka Area , Fe-Ka AreaStd , Rh-La-Coh Area , Rh-La-Coh AreaStd 
374-U1524A-1H-1-A_SHLF9353571 X1100.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1100,1.63E+05,227,40,8311,106,88578,301,377,57,3329,100,67705,323,-5331,158,68740,298,25631,218,23933,212,1130,163,2858,180,221094,491,44964,217
374-U1524A-1H-1-A_SHLF9353571 X1120.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1120,1.67E+05,354,42,10700,118,110369,335,583,60,2722,96,54324,297,-4681,155,74758,307,26902,221,25697,215,1210,164,2615,181,230433,499,41875,207
374-U1524A-1H-1-A_SHLF9353571 X1140.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1140,1.62E+05,206,42,8727,109,96911,315,346,59,2874,98,59619,308,-4997,157,69105,298,26167,217,23986,211,962,161,2177,178,221139,491,42468,211
374-U1524A-1H-1-A_SHLF9353571 X1160.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1160,1.60E+05,211,39,8180,105,92683,309,278,59,2994,99,61570,391,-5140,182,66331,295,25783,217,23832,212,949,164,2428,179,216494,495,42645,298
374-U1524A-1H-1-A_SHLF9353571 X1180.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1180,1.56E+05,175,40,9230,111,104360,326,400,58,2614,95,54598,296,-4151,155,66488,292,25548,213,23210,207,943,160,2305,175,204733,474,40842,206
374-U1524A-1H-1-A_SHLF9353571 X1200.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1200,1.46E+05,199,39,7830,103,97447,315,331,56,2481,94,55622,373,-4515,179,58899,280,22855,207,20945,202,926,159,2003,173,178757,456,41730,288
374-U1524A-1H-1-A_SHLF9353571 X1220.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1220,1.50E+05,171,37,6010,92,73720,276,168,55,3064,98,68438,414,-4702,185,53359,271,24015,210,19545,200,287,162,1717,176,203811,483,44001,309
374-U1524A-1H-1-A_SHLF9353571 X1240.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1240,1.48E+05,122,37,5549,90,72117,272,302,55,3599,101,70580,327,-5317,157,52650,270,25198,213,20340,202,791,160,2027,175,188631,458,44943,217
374-U1524A-1H-1-A_SHLF9353571 X1250.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1250,1.52E+05,181,37,5895,91,74036,276,260,56,3482,101,70123,419,-5078,186,54983,276,26247,217,21782,207,527,163,2360,178,198014,478,44465,312
374-U1524A-1H-1-A_SHLF9353571 X1260.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1260,1.48E+05,141,38,5509,90,70568,270,175,55,3667,102,71949,328,-4770,158,53645,271,25938,215,21025,202,709,160,2139,173,189330,458,44111,217
374-U1524A-1H-1-A_SHLF9353571 X1270.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1270,1.43E+05,156,36,4899,84,62160,254,237,53,3698,101,76964,440,-5283,188,48764,265,26469,216,18885,198,517,162,3645,180,173645,453,44717,323
374-U1524A-1H-1-A_SHLF9353571 X1280.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1280,1.47E+05,167,37,6234,94,75799,279,292,55,3350,100,69938,418,-5508,185,54466,275,28632,223,19595,200,474,161,8152,193,173258,453,44843,312
374-U1524A-1H-1-A_SHLF9353571 X1290.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1290,1.56E+05,146,37,5772,91,69777,269,244,56,3811,104,80075,447,-5202,191,55328,278,27855,223,20896,207,335,167,8600,199,193137,475,46942,329
374-U1524A-1H-1-A_SHLF9353571 X1300.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1300,1.61E+05,166,40,7865,104,88984,303,331,58,3098,100,67135,407,-5108,186,65036,294,29164,226,23472,211,913,166,7663,198,207466,490,44712,307
